TournamentId,TournamentName,GameId,GameName,Location,CountryName,CountryCode,StartDate,EndDate,TotalUSDPrize,latitude,longitude,year,TournamentsByCountry,TournamentsByGame
29685,SC2ONLINE Community Open #96,151,StarCraft II,Online,Netherlands,NL,27/05/2018,27/05/2018,50.0,52.0724168637,5.22159177132,2018.0,53,458
27890,ANNIHILATION: Iceland vs Sweden,245,Counter-Strike: Global Offensive,Europe,Austria,AT,26/05/2018,26/05/2018,338.82,47.5857571625,14.1305444711,2018.0,49,1018
27905,Baltic eSports League Season 1 (CS:GO),245,Counter-Strike: Global Offensive,"Riga, Latvia",Latvia,LV,26/02/2018,26/05/2018,8164.12,56.8520035624,24.9079168191,2018.0,7,1018
27903,C internet CS:GO Amature Tournament 2018,245,Counter-Strike: Global Offensive,"Bangkok, Thailand",Serbia and Montenegro,CS,26/05/2018,26/05/2018,1254.0,,,2018.0,428,1018
27906,e.Fire League Vietnam Championship Season 1,245,Counter-Strike: Global Offensive,Online,,,15/05/2018,26/05/2018,439.12,,,2018.0,0,1018
40025,ESEA Rank S EU 05-20/05-26 2018,245,Counter-Strike: Global Offensive,Online,Spain,ES,20/05/2018,26/05/2018,5200.0,40.2274328729,-3.65226540732,2018.0,385,1018
46240,Telenorligaen Spring 2018 (LoL),164,League of Legends,Norway,Norway,NO,28/01/2018,26/05/2018,3670.71,68.7958281693,15.4107026868,2018.0,32,192
27894,Telenorligaen: CS:GO - Spring 2018 Playoffs,245,Counter-Strike: Global Offensive,"Lillehammer, Oppland, Norway",Norway,NO,25/05/2018,26/05/2018,8445.6,68.7958281693,15.4107026868,2018.0,32,1018
45125,Telenorligaen: Rocket League - Spring 2018,409,Rocket League,"Lillehammer, Oppland, Norway",Norway,NO,26/05/2018,26/05/2018,2937.12,68.7958281693,15.4107026868,2018.0,32,283
28379,Ballistix Brawl: Qualifier 4,409,Rocket League,Online,,,25/05/2018,25/05/2018,500.0,,,2018.0,0,283
35410,ESL India Premiership 2018 Summer: Online Stage,245,Counter-Strike: Global Offensive,Online,Spain,ES,04/04/2018,25/05/2018,6641.16,40.2274328729,-3.65226540732,2018.0,385,1018
27886,King of Nordic - Season 11: Week #7,245,Counter-Strike: Global Offensive,Online,,,25/05/2018,25/05/2018,582.54,,,2018.0,0,1018
28958,Spider League #4,151,StarCraft II,Online,,,25/05/2018,25/05/2018,100.0,,,2018.0,0,458
27878,Adrenaline Cyber League 2018 (CS:GO),245,Counter-Strike: Global Offensive,"Moscow, Russia",Serbia and Montenegro,CS,23/05/2018,24/05/2018,100000.0,,,2018.0,428,1018
60315,Gfinity Summer Series 2018 - Cup 19,409,Rocket League,Online,,,24/05/2018,24/05/2018,301.06,,,2018.0,0,283
27887,Go4CS:GO April 2018 Monthly Finals,245,Counter-Strike: Global Offensive,Online,Serbia and Montenegro,CS,24/05/2018,24/05/2018,586.15,,,2018.0,428,1018
27888,Kung Fu Cup 2018 - Weekly #6,151,StarCraft II,Online,,,24/05/2018,24/05/2018,500.0,,,2018.0,0,458
28870,ASTRONAUTS 2v2 - Cup 8,409,Rocket League,Online (Twitch),Australia,AU,23/05/2018,23/05/2018,500.0,-25.7323831126,134.491117773,2018.0,115,283
27935,Ballistix Brawl - Season 3 Weekly #6,151,StarCraft II,Online,,,23/05/2018,23/05/2018,200.0,,,2018.0,0,458
60314,Gfinity Summer Series 2018 - Cup 18,409,Rocket League,Online,,,23/05/2018,23/05/2018,300.13,,,2018.0,0,283
60312,Gfinity Summer Series 2018 - Cup 17,409,Rocket League,Online,,,22/05/2018,22/05/2018,302.51,,,2018.0,0,283
27941,OlimoLeague Week #122,151,StarCraft II,Online,,,22/05/2018,22/05/2018,200.0,,,2018.0,0,458
27953,DreamHack Open Tours 2018 (CS:GO - BYOC),245,Counter-Strike: Global Offensive,"Tours, France",Serbia and Montenegro,CS,19/05/2018,21/05/2018,5886.05,,,2018.0,428,1018
27952,DreamHack Open Tours 2018 (CS:GO),245,Counter-Strike: Global Offensive,"Tours, France",Serbia and Montenegro,CS,19/05/2018,21/05/2018,100000.0,,,2018.0,428,1018
27876,DreamHack Open Tours 2018 (LoL),164,League of Legends,"Tours, France",France,FR,19/05/2018,21/05/2018,11823.44,42.1820291785,-2.75442214946,2018.0,67,192
